[DEBUG] 2019-09-04 16:59:14,506 [restartedMain] o.s.b.c.l.ClasspathLoggingApplicationListener - Application started with classpath: [file:/E:/msgInfo/target/classes/]
[DEBUG] 2019-09-04 16:59:15,706 [restartedMain] com.zyportal2.SmssendApplication - Running with Spring Boot v2.1.3.RELEASE, Spring v5.1.5.RELEASE
[DEBUG] 2019-09-04 16:59:15,707 [restartedMain] o.s.boot.SpringApplication - Loading source class com.zyportal2.SmssendApplication
[DEBUG] 2019-09-04 16:59:16,099 [restartedMain] o.s.b.c.c.ConfigFileApplicationListener - Loaded config file 'file:/E:/msgInfo/target/classes/application.yml' (classpath:/application.yml)
[DEBUG] 2019-09-04 16:59:16,103 [restartedMain] o.s.b.d.restart.ChangeableUrls - Matching URLs for reloading : [file:/E:/msgInfo/target/classes/]
[DEBUG] 2019-09-04 16:59:16,104 [restartedMain] o.s.b.d.settings.DevToolsSettings - Included patterns for restart : []
[DEBUG] 2019-09-04 16:59:16,104 [restartedMain] o.s.b.d.settings.DevToolsSettings - Excluded patterns for restart : [/spring-boot-actuator/target/classes/, /spring-boot-devtools/target/classes/, /spring-boot/target/classes/, /spring-boot-starter-[\w-]+/, /spring-boot-autoconfigure/target/classes/, /spring-boot-starter/target/classes/]
[DEBUG] 2019-09-04 16:59:16,119 [restartedMain] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7afdc2cd
[DEBUG] 2019-09-04 16:59:16,505 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[DEBUG] 2019-09-04 16:59:16,693 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
[DEBUG] 2019-09-04 16:59:17,124 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\Filter\LoginInterceptor.class]
[DEBUG] 2019-09-04 16:59:17,130 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\config\RedisConfig.class]
[DEBUG] 2019-09-04 16:59:17,140 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\config\RedisUtil.class]
[DEBUG] 2019-09-04 16:59:17,143 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\config\UserRequest.class]
[DEBUG] 2019-09-04 16:59:17,150 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\config\WebConfigurer.class]
[DEBUG] 2019-09-04 16:59:17,151 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\config\WebSocketConfig.class]
[DEBUG] 2019-09-04 16:59:17,185 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\controller\MainController.class]
[DEBUG] 2019-09-04 16:59:17,190 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\controller\RedisController.class]
[DEBUG] 2019-09-04 16:59:17,192 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\controller\SmsTaskController.class]
[DEBUG] 2019-09-04 16:59:17,212 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\controller\WebSocketServer.class]
[DEBUG] 2019-09-04 16:59:17,229 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\serviceImpl\RedisServiceImpl.class]
[DEBUG] 2019-09-04 16:59:17,234 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\serviceImpl\SendTaskServiceImpl.class]
[DEBUG] 2019-09-04 16:59:17,236 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\serviceImpl\SmsServiceImpl.class]
[DEBUG] 2019-09-04 16:59:17,239 [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [E:\msgInfo\target\classes\com\zyportal2\system\serviceImpl\TaskServiceImpl.class]
[DEBUG] 2019-09-04 16:59:18,487 [restartedMain] o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
[DEBUG] 2019-09-04 16:59:18,504 [restartedMain] o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.thymeleaf.prefix' in PropertySource 'configurationProperties' with value of type String
[DEBUG] 2019-09-04 16:59:18,504 [restartedMain] o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.thymeleaf.suffix' in PropertySource 'configurationProperties' with value of type String
[DEBUG] 2019-09-04 16:59:19,007 [restartedMain] o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.devtools.restart.enabled' in PropertySource 'configurationProperties' with value of type Boolean
[DEBUG] 2019-09-04 16:59:19,101 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[DEBUG] 2019-09-04 16:59:19,285 [restartedMain] o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
[DEBUG] 2019-09-04 16:59:19,289 [restartedMain] o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.thymeleaf.prefix' in PropertySource 'configurationProperties' with value of type String
[DEBUG] 2019-09-04 16:59:19,289 [restartedMain] o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.thymeleaf.suffix' in PropertySource 'configurationProperties' with value of type String
[DEBUG] 2019-09-04 16:59:20,281 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
[DEBUG] 2019-09-04 16:59:20,301 [restartedMain] o.s.b.a.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the package 'com.zyportal2'. Automatic @Repository and @Entity scanning is enabled.
[DEBUG] 2019-09-04 16:59:20,320 [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Scanning for repositories in packages com.zyportal2.
[DEBUG] 2019-09-04 16:59:20,597 [restartedMain] o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.devtools.restart.enabled' in PropertySource 'configurationProperties' with value of type Boolean
[DEBUG] 2019-09-04 16:59:21,163 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
[DEBUG] 2019-09-04 16:59:21,182 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
[DEBUG] 2019-09-04 16:59:21,187 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'servletComponentRegisteringPostProcessor'
[DEBUG] 2019-09-04 16:59:21,204 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata'
[DEBUG] 2019-09-04 16:59:21,205 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
[DEBUG] 2019-09-04 16:59:21,207 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
[DEBUG] 2019-09-04 16:59:21,219 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
[DEBUG] 2019-09-04 16:59:21,259 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[DEBUG] 2019-09-04 16:59:21,260 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
[DEBUG] 2019-09-04 16:59:21,287 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
[DEBUG] 2019-09-04 16:59:21,302 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalScheduledAnnotationProcessor'
[DEBUG] 2019-09-04 16:59:21,303 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.scheduling.annotation.SchedulingConfiguration'
[DEBUG] 2019-09-04 16:59:21,354 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
[DEBUG] 2019-09-04 16:59:21,415 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'methodValidationPostProcessor'
[DEBUG] 2019-09-04 16:59:21,449 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
[DEBUG] 2019-09-04 16:59:21,462 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
[DEBUG] 2019-09-04 16:59:21,464 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
[DEBUG] 2019-09-04 16:59:21,468 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
[DEBUG] 2019-09-04 16:59:21,469 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
[DEBUG] 2019-09-04 16:59:21,470 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
[DEBUG] 2019-09-04 16:59:21,696 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[DEBUG] 2019-09-04 16:59:21,696 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
[DEBUG] 2019-09-04 16:59:21,734 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'transactionAttributeSource'
[DEBUG] 2019-09-04 16:59:21,742 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'transactionInterceptor'
[DEBUG] 2019-09-04 16:59:21,777 [restartedMain] o.s.u.c.s.UiApplicationContextUtils - Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@51f6e1f4]
[DEBUG] 2019-09-04 16:59:21,778 [restartedMain] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
